month,mine_location,target_production,actual_production,equipment_available,equipment_utilization,downtime_hours,rainfall,temperature,soil_moisture,blast_count,blast_delay,mn_grade,ore_thickness,ore_depth,lithology
2022-09,MOIL-Mine-01,123869.83,108220.36,13,84.29,13.18,60.1,29.64,0.301,21,3.33,34.93,4.83,31.31,Manganese-bearing
2022-10,MOIL-Mine-01,127150.7,95102.14,11,80.44,24.28,14.87,27.45,0.182,29,2.65,34.0,4.32,26.54,Laterite
2022-11,MOIL-Mine-01,125296.98,95559.99,11,81.26,26.68,27.77,23.92,0.224,22,2.92,36.77,4.79,33.46,Laterite
2022-12,MOIL-Mine-01,122660.59,106005.79,11,79.19,10.64,29.72,23.28,0.216,29,4.2,34.66,5.13,30.39,Manganese-bearing
2023-01,MOIL-Mine-01,126995.99,96767.8,12,82.74,18.03,71.11,20.05,0.306,21,4.13,31.42,5.37,27.58,Banded formation
2023-02,MOIL-Mine-01,126138.63,107026.55,13,83.94,22.24,7.54,25.45,0.157,24,2.24,30.22,4.61,32.45,Manganese-bearing
2023-03,MOIL-Mine-01,126793.63,92061.66,13,82.84,22.03,30.17,28.77,0.256,21,5.39,35.68,4.74,32.25,Laterite
2023-04,MOIL-Mine-01,125574.5,93094.64,12,86.93,20.41,30.5,35.22,0.243,27,4.13,34.26,4.26,29.44,Laterite
2023-05,MOIL-Mine-01,124062.04,115930.09,11,80.3,8.41,42.76,36.15,0.246,18,2.41,37.16,5.26,33.1,Manganese-bearing
2023-06,MOIL-Mine-01,124986.9,86704.28,13,82.9,12.4,85.72,28.55,0.396,29,5.5,31.09,4.51,30.53,Metamorphic
2023-07,MOIL-Mine-01,127546.17,70154.04,13,77.71,25.18,156.49,27.5,0.512,24,7.31,36.35,4.3,31.29,Laterite
2023-08,MOIL-Mine-01,127994.62,90678.75,12,79.46,10.52,65.95,26.13,0.316,23,4.88,32.73,4.51,27.43,Laterite
2023-09,MOIL-Mine-01,127920.87,101187.96,11,84.52,18.88,47.84,29.93,0.327,26,4.22,33.36,4.51,31.05,Manganese-bearing
2023-10,MOIL-Mine-01,128469.76,107380.16,12,81.62,18.57,13.54,29.04,0.189,25,2.55,32.04,3.83,30.53,Manganese-bearing
2023-11,MOIL-Mine-01,129435.57,111022.69,12,90.46,21.2,10.66,20.18,0.191,23,2.22,33.04,4.34,33.69,Metamorphic
2023-12,MOIL-Mine-01,130150.02,87347.44,12,78.44,28.75,27.35,24.93,0.239,27,4.29,34.83,3.75,33.53,Laterite
2024-01,MOIL-Mine-01,126681.37,84814.57,11,86.29,27.37,33.99,23.63,0.191,25,4.5,32.89,4.88,35.0,Laterite
2024-02,MOIL-Mine-01,128773.09,114126.81,12,86.22,19.11,12.26,24.75,0.239,14,1.86,37.96,4.37,26.65,Laterite
2024-03,MOIL-Mine-01,123829.27,112471.74,11,85.89,11.21,5.37,30.2,0.218,19,3.22,34.28,4.2,29.48,Metamorphic
2024-04,MOIL-Mine-01,126415.78,122682.29,13,84.12,5.0,18.3,31.84,0.169,24,0.53,35.27,3.72,35.11,Metamorphic
2024-05,MOIL-Mine-01,130520.2,80342.26,11,78.62,30.45,25.22,31.81,0.225,28,5.2,32.41,4.75,31.59,Laterite
2024-06,MOIL-Mine-01,129371.67,97261.95,11,82.26,22.77,55.1,31.17,0.264,25,5.18,34.27,5.31,33.42,Manganese-bearing
2024-07,MOIL-Mine-01,124572.52,68514.89,12,61.97,27.11,204.6,30.3,0.583,26,8.96,33.46,4.41,28.93,Banded formation
2024-08,MOIL-Mine-01,127045.0,85805.18,11,73.3,15.01,95.25,25.03,0.356,30,4.47,31.9,4.18,31.28,Manganese-bearing
2024-09,MOIL-Mine-01,129337.87,71263.04,11,80.26,24.38,166.0,30.53,0.536,26,8.2,33.96,4.61,35.17,Manganese-bearing
2024-10,MOIL-Mine-01,124055.61,90483.45,13,77.54,16.89,21.59,25.7,0.225,22,3.31,31.44,4.14,32.66,Laterite
2024-11,MOIL-Mine-01,130620.06,98346.91,11,85.38,22.01,26.38,26.63,0.217,31,3.97,30.51,4.01,30.43,Manganese-bearing
2024-12,MOIL-Mine-01,130228.53,95765.35,13,78.62,23.27,22.51,22.04,0.227,23,4.14,32.98,4.28,32.29,Metamorphic
2025-01,MOIL-Mine-01,130793.58,119271.71,13,82.15,19.89,18.97,24.42,0.216,27,2.77,36.63,4.69,27.23,Manganese-bearing
2025-02,MOIL-Mine-01,132327.76,101311.04,10,85.29,15.24,7.6,22.85,0.199,20,2.71,32.27,3.49,31.94,Laterite
2025-03,MOIL-Mine-01,132138.56,106069.59,11,81.17,26.22,28.93,27.87,0.255,25,3.59,34.23,4.4,31.43,Manganese-bearing
2025-04,MOIL-Mine-01,127993.17,105532.82,13,74.57,18.01,35.3,34.57,0.216,27,2.58,31.18,4.55,29.5,Manganese-bearing
2025-05,MOIL-Mine-01,128290.74,117885.7,12,85.06,16.44,3.48,35.1,0.235,22,2.17,32.34,4.39,27.97,Manganese-bearing
2025-06,MOIL-Mine-01,130173.34,87224.61,11,73.49,23.16,81.89,28.88,0.339,17,5.81,33.13,4.87,28.79,Banded formation
2025-07,MOIL-Mine-01,127206.77,93833.29,12,78.21,11.79,71.35,26.58,0.318,29,5.58,34.12,4.35,30.78,Metamorphic
2025-08,MOIL-Mine-01,130983.49,72040.92,14,65.05,33.25,238.87,31.66,0.706,21,9.97,34.6,4.36,30.4,Manganese-bearing
2025-09,MOIL-Mine-01,131958.19,99502.06,10,75.08,16.72,75.49,27.13,0.326,27,3.26,33.96,4.66,28.85,Metamorphic
2025-10,MOIL-Mine-01,130501.8,113099.58,12,83.03,8.39,24.43,25.12,0.227,18,2.18,32.58,3.99,28.12,Metamorphic
2025-11,MOIL-Mine-01,131175.46,99989.83,13,83.59,11.73,57.1,23.86,0.288,28,5.17,31.72,4.21,24.61,Banded formation
2025-12,MOIL-Mine-01,126536.86,95565.09,13,80.92,26.71,44.77,26.1,0.302,20,3.47,33.63,4.49,32.11,Banded formation
2021-01,MOIL-Mine-02,109608.73,79187.54,11,89.65,21.16,28.59,21.45,0.306,25,3.03,33.29,4.28,33.09,Laterite
2021-02,MOIL-Mine-02,111417.03,92065.32,12,80.4,16.68,2.77,26.09,0.188,29,3.29,34.31,4.16,28.52,Metamorphic
2021-03,MOIL-Mine-02,112218.3,103526.53,15,85.99,20.86,11.46,28.49,0.215,25,1.54,36.49,4.12,29.34,Manganese-bearing
2021-04,MOIL-Mine-02,110539.77,100690.26,11,89.73,23.41,10.57,30.83,0.215,20,1.62,35.0,4.05,27.34,Manganese-bearing
2021-05,MOIL-Mine-02,109420.69,99707.47,12,81.93,7.89,8.22,38.08,0.255,21,2.58,35.86,3.44,23.94,Manganese-bearing
2021-06,MOIL-Mine-02,108720.48,60033.21,11,74.26,32.96,114.88,33.19,0.427,18,7.51,34.84,4.29,27.29,Banded formation
2021-07,MOIL-Mine-02,109903.83,93443.37,12,73.27,13.12,20.9,24.09,0.169,32,2.52,33.26,3.87,26.56,Manganese-bearing
2021-08,MOIL-Mine-02,110669.5,81346.96,10,78.31,10.41,62.62,27.71,0.334,29,3.25,34.11,4.83,27.42,Laterite
2021-09,MOIL-Mine-02,110145.39,77280.34,13,90.96,26.88,55.4,26.71,0.288,21,4.06,35.18,3.97,28.56,Laterite
2021-10,MOIL-Mine-02,111627.94,76523.52,13,81.05,20.85,29.26,21.79,0.213,25,5.47,33.8,3.49,28.59,Laterite
2021-11,MOIL-Mine-02,109792.92,80895.45,11,84.5,11.05,5.69,26.58,0.229,28,3.95,32.74,4.0,30.74,Laterite
2021-12,MOIL-Mine-02,108087.2,88958.79,12,82.63,31.22,1.22,24.15,0.142,28,3.12,33.88,4.32,24.49,Manganese-bearing
2022-01,MOIL-Mine-02,113181.39,97368.98,13,74.04,8.76,23.67,22.04,0.24,20,2.5,36.03,3.97,28.32,Banded formation
2022-02,MOIL-Mine-02,111474.02,99856.76,11,82.17,13.13,10.76,19.05,0.195,21,1.59,32.1,4.5,26.92,Manganese-bearing
2022-03,MOIL-Mine-02,110563.07,100555.22,10,90.72,16.15,5.79,27.41,0.212,24,2.4,36.85,4.92,25.26,Metamorphic
2022-04,MOIL-Mine-02,111001.02,90524.26,13,84.85,14.17,17.09,35.76,0.179,20,1.93,33.12,4.23,28.74,Laterite
2022-05,MOIL-Mine-02,112965.33,82711.27,14,83.84,16.83,49.88,30.66,0.27,21,5.01,33.03,4.1,31.9,Manganese-bearing
2022-06,MOIL-Mine-02,113046.96,85510.95,13,82.06,28.09,54.89,34.28,0.279,26,4.69,35.82,5.06,27.08,Manganese-bearing
2022-07,MOIL-Mine-02,111593.22,61481.64,11,76.34,30.54,133.79,28.67,0.494,30,7.82,33.93,4.48,27.87,Metamorphic
2022-08,MOIL-Mine-02,112283.04,80953.12,11,77.84,12.44,58.78,28.82,0.323,23,5.54,33.53,4.05,28.51,Manganese-bearing
2022-09,MOIL-Mine-02,114958.33,74118.18,12,75.91,18.52,67.93,29.29,0.294,32,4.88,32.62,4.14,31.83,Banded formation
2022-10,MOIL-Mine-02,114537.22,82006.1,12,82.69,22.57,36.84,25.48,0.184,27,4.7,32.32,3.86,25.9,Metamorphic
2022-11,MOIL-Mine-02,112667.98,103235.24,14,87.24,13.64,4.79,25.19,0.225,27,2.57,37.25,3.65,27.6,Metamorphic
2022-12,MOIL-Mine-02,109854.64,101239.64,10,77.6,15.95,13.69,20.71,0.244,22,1.4,34.81,5.12,24.43,Manganese-bearing
2023-01,MOIL-Mine-02,114698.83,98836.84,10,81.87,16.4,20.33,19.89,0.204,22,2.51,34.49,4.43,29.34,Manganese-bearing
2023-02,MOIL-Mine-02,116210.49,86768.59,11,81.62,14.73,10.45,22.9,0.14,21,3.41,34.56,3.88,29.23,Laterite
2023-03,MOIL-Mine-02,113234.33,81389.32,13,79.2,24.87,40.32,27.55,0.282,20,4.3,34.06,4.08,21.7,Metamorphic
2023-04,MOIL-Mine-02,115412.24,88951.35,11,81.48,26.67,20.74,34.93,0.273,30,3.87,34.76,4.61,26.49,Metamorphic
2023-05,MOIL-Mine-02,111475.58,80132.26,11,77.28,23.56,66.7,31.97,0.307,23,3.64,34.68,4.25,29.32,Manganese-bearing
2023-06,MOIL-Mine-02,116038.13,79297.95,12,77.0,18.86,50.19,29.75,0.292,25,4.81,31.93,3.25,25.18,Banded formation
2023-07,MOIL-Mine-02,112618.58,61940.22,13,55.07,29.69,320.0,28.16,0.787,22,13.2,33.68,4.88,28.9,Metamorphic
2023-08,MOIL-Mine-02,115922.33,70424.36,11,81.54,27.31,84.12,29.72,0.364,34,5.89,36.23,4.41,28.65,Laterite
2023-09,MOIL-Mine-02,113918.78,75408.15,12,77.77,12.33,119.75,30.05,0.382,20,5.19,34.59,4.48,27.71,Banded formation
2023-10,MOIL-Mine-02,113337.78,102320.02,12,82.72,13.37,10.66,25.94,0.191,27,2.58,34.75,3.61,28.09,Manganese-bearing
2023-11,MOIL-Mine-02,114099.88,92229.82,15,88.14,23.32,13.96,23.44,0.214,24,2.68,32.31,3.56,27.55,Manganese-bearing
2023-12,MOIL-Mine-02,115172.41,89202.61,11,81.61,23.46,11.87,22.76,0.19,30,4.24,33.46,4.08,32.24,Manganese-bearing
2024-01,MOIL-Mine-02,115477.65,92950.73,12,83.6,22.95,7.51,27.38,0.188,21,3.67,34.34,4.24,28.82,Banded formation
2024-02,MOIL-Mine-02,114051.88,83374.17,13,82.05,26.66,2.55,20.37,0.221,22,3.06,32.44,4.03,26.89,Laterite
2024-03,MOIL-Mine-02,116353.2,94178.87,9,75.24,13.57,13.31,27.29,0.183,24,3.62,33.87,4.72,26.45,Manganese-bearing
2024-04,MOIL-Mine-02,115380.64,83347.04,13,80.9,19.77,21.54,32.32,0.28,24,2.46,32.35,3.86,30.95,Laterite
2024-05,MOIL-Mine-02,113461.55,85559.02,12,81.52,23.14,36.66,31.62,0.203,27,4.66,35.07,3.18,24.55,Manganese-bearing
2024-06,MOIL-Mine-02,116163.91,63890.15,12,70.75,32.16,240.68,29.61,0.652,25,9.63,33.42,3.98,31.74,Manganese-bearing
2024-07,MOIL-Mine-02,114190.16,63069.92,13,75.24,29.0,140.08,29.22,0.429,27,6.94,35.25,3.73,29.56,Metamorphic
2024-08,MOIL-Mine-02,117487.39,76781.58,12,81.0,25.99,63.02,27.49,0.308,27,3.96,35.33,3.98,25.88,Laterite
2024-09,MOIL-Mine-02,116771.65,81036.48,12,78.21,18.11,88.13,30.88,0.37,22,3.93,33.84,3.87,25.35,Metamorphic
2024-10,MOIL-Mine-02,112238.14,89454.8,12,86.88,26.09,17.89,24.35,0.255,26,5.01,36.15,4.65,22.98,Metamorphic
2024-11,MOIL-Mine-02,118797.04,87304.44,11,85.17,22.1,23.93,22.3,0.248,30,3.13,32.72,3.52,25.08,Metamorphic
2024-12,MOIL-Mine-02,115003.72,105032.3,11,82.73,12.85,11.16,24.84,0.222,23,0.94,34.44,4.28,30.38,Banded formation
2025-01,MOIL-Mine-02,119534.47,94724.37,12,82.19,14.71,9.38,21.5,0.263,21,2.68,35.69,3.57,27.03,Laterite
2025-02,MOIL-Mine-02,116128.02,91608.57,11,88.95,18.05,29.55,25.35,0.225,26,3.3,33.22,3.5,24.49,Banded formation
2025-03,MOIL-Mine-02,115504.3,103472.57,12,79.12,19.42,18.51,28.04,0.215,24,2.49,36.87,4.21,24.48,Manganese-bearing
2025-04,MOIL-Mine-02,114328.76,90233.16,11,90.44,16.7,19.15,31.58,0.18,25,2.16,36.48,3.02,31.73,Laterite
2025-05,MOIL-Mine-02,119427.78,94864.92,11,82.6,18.11,47.04,35.3,0.252,18,3.58,35.45,3.94,26.67,Manganese-bearing
2025-06,MOIL-Mine-02,115053.78,82628.67,13,72.82,22.47,92.25,28.97,0.318,27,4.37,37.52,4.48,27.58,Manganese-bearing
2025-07,MOIL-Mine-02,120065.1,79783.12,12,77.16,19.44,107.04,25.03,0.38,23,4.06,29.96,4.69,24.88,Manganese-bearing
2025-08,MOIL-Mine-02,118780.47,69071.04,13,81.02,31.32,120.87,29.38,0.388,30,6.5,35.99,3.84,27.16,Manganese-bearing
2025-09,MOIL-Mine-02,116589.88,88368.36,12,78.87,19.86,77.02,27.15,0.332,25,4.11,36.1,4.36,25.33,Manganese-bearing
2025-10,MOIL-Mine-02,119991.25,107865.78,12,80.71,13.59,8.66,29.49,0.146,22,2.01,34.16,3.99,29.64,Manganese-bearing
2025-11,MOIL-Mine-02,116130.38,97102.15,11,91.29,21.02,2.78,23.54,0.248,18,2.43,34.04,3.78,33.67,Manganese-bearing
2025-12,MOIL-Mine-02,116641.0,84897.69,10,84.98,26.52,25.49,20.48,0.28,29,4.35,35.11,4.34,27.26,Metamorphic
2021-01,MOIL-Mine-03,132741.8,87290.33,12,81.26,18.24,22.08,23.59,0.136,27,3.61,28.91,4.61,34.22,Metamorphic
2021-02,MOIL-Mine-03,130421.05,91844.03,11,83.56,14.71,22.16,23.99,0.284,24,4.07,31.77,5.4,27.23,Laterite
2021-03,MOIL-Mine-03,133764.34,95630.16,11,79.98,21.44,8.28,26.23,0.115,31,2.98,29.78,4.83,27.79,Metamorphic
2021-04,MOIL-Mine-03,128169.61,105046.85,13,78.25,9.51,6.26,36.12,0.24,28,2.53,31.76,4.91,26.42,Banded formation
2021-05,MOIL-Mine-03,129784.63,84718.3,12,85.04,21.67,9.73,32.11,0.206,19,3.41,28.93,3.74,30.06,Laterite
2021-06,MOIL-Mine-03,127757.85,100339.77,12,80.68,17.24,27.62,30.55,0.267,23,2.41,30.64,4.4,28.07,Manganese-bearing
2021-07,MOIL-Mine-03,134075.17,102301.76,11,82.14,22.2,31.75,26.68,0.293,32,2.83,32.1,4.65,26.28,Manganese-bearing
2021-08,MOIL-Mine-03,134508.82,73979.85,12,74.73,33.39,88.59,27.58,0.361,23,6.2,30.77,4.54,26.67,Metamorphic
2021-09,MOIL-Mine-03,127147.99,84661.21,10,88.95,30.09,55.0,29.71,0.27,30,4.81,32.01,4.77,27.37,Manganese-bearing
2021-10,MOIL-Mine-03,129840.2,104048.69,11,86.07,15.66,4.8,26.9,0.197,19,2.99,33.01,4.96,34.26,Manganese-bearing
2021-11,MOIL-Mine-03,128653.3,98309.15,11,79.86,21.02,17.43,26.93,0.155,22,2.14,31.0,4.95,26.49,Banded formation
2021-12,MOIL-Mine-03,132404.46,94556.72,12,83.81,18.61,21.5,22.71,0.219,28,3.73,32.2,4.52,29.03,Banded formation
2022-01,MOIL-Mine-03,137691.39,110415.73,12,92.54,15.37,13.44,20.09,0.207,24,2.05,31.85,4.14,30.74,Banded formation
2022-02,MOIL-Mine-03,127463.7,90651.37,13,73.98,16.96,35.22,24.76,0.305,31,4.06,33.12,4.16,28.64,Manganese-bearing
2022-03,MOIL-Mine-03,132135.54,103829.41,13,80.07,12.17,16.75,26.83,0.197,24,3.32,32.41,5.49,27.72,Metamorphic
2022-04,MOIL-Mine-03,132366.35,86273.73,11,79.28,25.04,13.88,33.56,0.228,21,3.5,27.99,4.63,34.02,Metamorphic
2022-05,MOIL-Mine-03,132113.78,94861.26,11,86.7,21.47,27.05,33.03,0.195,22,4.32,33.58,5.23,31.74,Metamorphic
2022-06,MOIL-Mine-03,131491.79,74404.15,10,81.72,27.93,67.59,30.15,0.302,27,6.05,29.42,4.76,32.21,Metamorphic
2022-07,MOIL-Mine-03,132990.17,74656.18,11,78.58,28.31,101.51,28.04,0.39,34,4.94,30.97,4.21,31.76,Manganese-bearing
2022-08,MOIL-Mine-03,131679.33,72423.63,11,74.28,31.74,151.96,28.89,0.427,26,6.54,32.14,3.98,34.41,Manganese-bearing
2022-09,MOIL-Mine-03,130789.31,72151.0,12,75.85,22.72,102.31,28.89,0.377,29,6.81,31.43,3.98,30.68,Manganese-bearing
2022-10,MOIL-Mine-03,124673.22,93290.88,13,81.41,15.25,15.88,27.12,0.229,18,3.25,30.31,4.38,27.64,Manganese-bearing
2022-11,MOIL-Mine-03,137173.43,115011.75,12,85.61,12.22,4.86,25.44,0.222,29,1.51,30.47,4.24,30.06,Manganese-bearing
2022-12,MOIL-Mine-03,130246.64,97401.83,11,83.12,12.38,49.86,25.32,0.273,25,4.24,32.66,4.81,31.46,Manganese-bearing
2023-01,MOIL-Mine-03,138361.18,104264.07,11,82.76,16.04,24.93,18.88,0.146,23,2.67,32.36,5.0,33.08,Metamorphic
2023-02,MOIL-Mine-03,132741.13,96961.56,9,76.71,21.32,9.56,24.4,0.141,24,3.3,34.33,5.01,31.33,Banded formation
2023-03,MOIL-Mine-03,133741.04,96342.47,10,78.36,17.92,6.69,27.25,0.201,30,4.35,31.59,4.02,27.88,Manganese-bearing
2023-04,MOIL-Mine-03,135759.56,84846.15,11,85.38,23.17,39.02,32.07,0.265,25,5.23,32.33,5.09,29.22,Laterite
2023-05,MOIL-Mine-03,135321.02,94153.43,13,75.87,21.26,14.33,33.93,0.264,28,3.81,33.32,5.07,33.28,Manganese-bearing
2023-06,MOIL-Mine-03,135570.93,74564.01,11,71.31,33.66,143.72,28.94,0.471,29,6.58,33.32,5.05,29.0,Metamorphic
2023-07,MOIL-Mine-03,133689.76,87300.64,12,80.68,26.86,74.14,30.83,0.35,25,3.73,35.43,4.38,27.86,Metamorphic
2023-08,MOIL-Mine-03,135087.45,74726.44,11,80.52,14.91,108.41,26.71,0.384,19,6.37,31.4,4.8,29.86,Laterite
2023-09,MOIL-Mine-03,135632.5,91087.93,13,82.45,22.04,37.55,27.98,0.207,27,5.11,30.57,4.89,28.07,Metamorphic
2023-10,MOIL-Mine-03,132561.02,109428.06,10,84.49,10.09,7.66,29.5,0.169,23,2.1,29.57,4.53,23.32,Manganese-bearing
2023-11,MOIL-Mine-03,138447.17,115700.97,11,83.84,13.51,5.52,24.61,0.256,24,2.86,32.86,5.22,29.11,Manganese-bearing
2023-12,MOIL-Mine-03,136830.26,100677.58,12,85.2,24.7,9.45,19.94,0.188,23,2.28,29.84,4.3,27.88,Manganese-bearing
2024-01,MOIL-Mine-03,137168.83,114041.58,12,79.68,9.9,6.92,26.96,0.185,28,2.65,31.23,4.68,24.35,Manganese-bearing
2024-02,MOIL-Mine-03,135920.08,79312.51,11,74.7,27.16,80.44,20.07,0.373,19,5.39,32.06,4.57,29.54,Manganese-bearing
2024-03,MOIL-Mine-03,136446.58,98001.87,13,79.35,14.92,20.32,30.45,0.259,25,1.91,30.85,4.87,28.65,Laterite
2024-04,MOIL-Mine-03,136640.85,106751.24,10,79.4,12.16,14.17,32.91,0.221,27,4.13,33.11,5.09,28.94,Manganese-bearing
2024-05,MOIL-Mine-03,136934.07,94262.5,10,77.85,15.55,44.59,31.72,0.348,25,4.29,30.59,4.53,31.59,Manganese-bearing
2024-06,MOIL-Mine-03,144272.75,79350.01,11,66.63,26.66,150.91,31.17,0.464,26,7.58,30.25,4.27,31.52,Banded formation
2024-07,MOIL-Mine-03,142640.09,78452.05,11,74.29,30.74,178.07,26.91,0.628,31,9.18,29.1,4.9,30.01,Manganese-bearing
2024-08,MOIL-Mine-03,141355.41,77745.47,10,69.28,21.69,141.83,26.53,0.475,26,7.76,33.0,5.3,33.36,Metamorphic
2024-09,MOIL-Mine-03,138446.65,87652.16,12,81.5,22.6,80.04,29.72,0.342,30,5.41,31.44,4.2,28.95,Manganese-bearing
2024-10,MOIL-Mine-03,137019.05,97540.25,10,78.16,10.2,4.41,24.79,0.154,26,2.36,31.08,5.17,29.09,Laterite
2024-11,MOIL-Mine-03,131619.52,85170.24,11,80.14,33.38,23.92,22.58,0.208,24,2.73,29.5,4.65,31.77,Metamorphic
2024-12,MOIL-Mine-03,138749.64,100969.11,12,88.66,23.14,13.73,20.97,0.247,28,4.32,32.58,4.27,23.68,Metamorphic
2025-01,MOIL-Mine-03,142241.81,106401.28,11,86.77,7.49,12.63,22.99,0.211,15,3.5,30.58,4.19,28.99,Laterite
2025-02,MOIL-Mine-03,146716.36,103100.89,12,83.28,17.16,34.31,20.65,0.259,28,4.79,32.01,4.5,32.12,Manganese-bearing
2025-03,MOIL-Mine-03,138615.98,104050.7,14,80.38,22.0,18.17,28.54,0.206,34,3.45,31.68,4.91,33.56,Manganese-bearing
2025-04,MOIL-Mine-03,139695.44,112552.62,13,81.16,16.99,9.29,33.26,0.237,34,1.74,30.8,4.21,29.92,Manganese-bearing
2025-05,MOIL-Mine-03,134448.34,93427.28,13,84.37,25.09,18.9,34.63,0.194,26,3.71,31.31,4.29,30.73,Banded formation
2025-06,MOIL-Mine-03,138667.55,102530.49,12,82.65,24.86,22.38,30.52,0.228,27,2.93,32.19,4.42,28.63,Manganese-bearing
2025-07,MOIL-Mine-03,139969.87,94062.64,11,82.33,14.23,80.73,31.11,0.299,19,6.27,32.98,4.36,25.16,Manganese-bearing
2025-08,MOIL-Mine-03,136745.08,76802.33,11,76.65,30.25,62.11,32.64,0.293,23,6.96,30.94,4.49,27.13,Manganese-bearing
2025-09,MOIL-Mine-03,145275.45,79901.5,13,72.74,31.21,183.77,28.08,0.536,29,9.17,31.21,4.39,32.18,Metamorphic
2025-10,MOIL-Mine-03,144892.87,121998.84,10,91.27,20.35,8.28,27.23,0.224,25,1.86,32.78,4.91,32.6,Manganese-bearing
2025-11,MOIL-Mine-03,136326.29,114548.45,10,87.35,14.65,4.41,23.38,0.151,20,1.21,31.6,5.3,31.64,Banded formation
2025-12,MOIL-Mine-03,145528.14,108275.22,12,78.93,5.52,18.22,22.28,0.183,21,3.93,30.34,4.4,30.54,Manganese-bearing
2021-01,MOIL-Mine-04,128149.0,94960.19,10,87.37,21.65,16.6,23.21,0.194,30,4.3,34.93,4.47,26.74,Metamorphic
2021-02,MOIL-Mine-04,131056.65,111927.35,11,78.12,16.6,17.64,22.83,0.202,24,2.04,33.02,5.23,26.43,Manganese-bearing
2021-03,MOIL-Mine-04,126088.78,95706.58,9,81.43,17.42,16.33,29.93,0.133,25,1.54,32.94,5.0,30.82,Laterite
2021-04,MOIL-Mine-04,132224.56,104307.34,11,82.21,7.32,31.42,33.38,0.211,27,2.96,35.88,4.22,24.12,Laterite
2021-05,MOIL-Mine-04,128515.12,103334.26,11,79.37,16.19,8.07,33.2,0.24,26,4.19,33.84,4.51,24.19,Manganese-bearing
2021-06,MOIL-Mine-04,134996.32,84395.93,12,79.31,23.94,102.5,29.86,0.396,27,7.01,34.24,5.46,24.96,Manganese-bearing
2021-07,MOIL-Mine-04,136020.25,97364.52,11,80.75,13.14,81.89,31.44,0.344,23,4.26,33.39,3.75,25.24,Manganese-bearing
2021-08,MOIL-Mine-04,128105.46,74365.72,11,81.03,24.94,143.23,24.87,0.446,24,8.16,35.36,4.87,22.35,Manganese-bearing
