elevation_m,slope_deg,ndvi,lst_celsius,rainfall_annual_mm,soil_moisture,clay_iron_ratio,ferrous_iron_index,latitude,longitude,dist_to_fault_km,standardized_lithology,mn_present,country
409.16,7.51,0.471,35.85,1241.5,0.346,1.77,2.41,21.456124,80.013302,2.87,Metamorphic_Schist,0,India
424.9,5.06,0.2,31.4,914.7,0.247,2.42,1.34,21.827947,78.787516,0.94,Metamorphic_Schist,0,India
346.18,7.69,0.202,36.26,879.8,0.231,2.72,1.56,21.223081,79.247858,5.62,Sedimentary_Mn_Oxide,1,India
388.35,7.96,0.323,36.9,1249.3,0.201,2.06,1.3,21.973284,80.082242,3.42,Metamorphic_Schist,0,India
300.95,7.54,0.24,35.91,953.7,0.203,2.52,2.45,21.13061,79.419554,4.92,Metamorphic_Schist,0,India
307.42,6.97,0.316,34.67,1232.0,0.201,2.76,2.11,21.071394,80.252976,1.76,Metamorphic_Schist,1,India
441.61,3.4,0.306,29.68,852.9,0.313,2.65,2.11,21.706699,79.006643,2.75,Sedimentary_Mn_Oxide,1,India
387.17,4.58,0.37,30.8,850.0,0.2,1.67,1.31,22.004337,79.056024,4.79,Metamorphic_Schist,0,India
422.45,2.86,0.497,29.35,1154.6,0.356,2.43,1.33,21.498998,80.450739,4.52,Metamorphic_Schist,0,India
385.0,2.3,0.372,29.12,858.9,0.312,2.99,2.14,21.377483,78.963464,5.64,Sedimentary_Mn_Oxide,0,India
417.47,3.79,0.201,30.0,851.5,0.237,3.08,1.53,21.847185,79.022721,3.07,Sedimentary_Mn_Oxide,0,India
386.8,7.89,0.262,36.74,1023.0,0.208,2.09,2.33,21.928257,78.584954,3.16,Metamorphic_Schist,0,India
420.89,2.34,0.2,29.13,1144.0,0.24,3.11,2.49,21.841039,80.471079,5.68,Metamorphic_Schist,0,India
321.25,6.89,0.381,34.5,861.5,0.208,2.26,2.2,21.028164,79.177034,5.68,Metamorphic_Schist,0,India
323.99,5.02,0.216,31.34,1042.8,0.208,1.61,2.47,21.15934,79.575023,5.05,Metamorphic_Schist,0,India
317.53,3.32,0.3,29.63,885.6,0.2,1.69,1.32,21.082368,78.861454,4.98,Metamorphic_Schist,0,India
419.77,7.93,0.386,36.84,1248.9,0.337,2.88,2.49,21.652535,80.146065,5.8,Metamorphic_Schist,0,India
313.44,7.94,0.359,36.86,1069.7,0.205,3.04,2.17,21.042786,78.506884,5.37,Metamorphic_Schist,1,India
411.85,7.55,0.461,35.92,953.5,0.343,2.78,1.31,21.446064,79.419121,3.69,Sedimentary_Mn_Oxide,1,India
429.55,2.52,0.204,29.2,875.6,0.256,2.89,1.35,21.810251,78.893067,4.45,Sedimentary_Mn_Oxide,0,India
423.16,6.62,0.487,33.97,1225.8,0.359,2.25,2.36,21.562514,79.944989,5.67,Metamorphic_Schist,0,India
430.69,7.28,0.491,35.32,1237.4,0.36,2.48,2.46,21.555072,79.991672,5.76,Metamorphic_Schist,0,India
434.37,7.85,0.404,36.63,1017.7,0.342,2.88,1.3,21.640051,78.593921,5.8,Metamorphic_Schist,0,India
427.17,1.68,0.467,29.01,863.7,0.356,1.6,2.38,21.587525,78.93952,5.22,Sedimentary_Mn_Oxide,1,India
447.48,6.91,0.23,34.54,1230.9,0.278,1.6,2.43,21.769889,80.257613,5.61,Metamorphic_Schist,0,India
304.82,7.61,0.24,36.07,876.9,0.203,3.2,1.95,21.130878,79.23822,2.58,Metamorphic_Schist,1,India
398.04,4.8,0.236,31.07,1048.5,0.214,3.09,2.37,21.905181,79.584593,2.12,Metamorphic_Schist,1,India
355.79,7.61,0.213,36.07,998.5,0.242,1.66,2.49,21.246892,78.626688,4.62,Metamorphic_Schist,0,India
412.04,5.65,0.202,32.26,1208.1,0.252,2.15,2.44,21.817855,80.330201,2.76,Metamorphic_Schist,0,India
343.53,4.9,0.458,31.18,1046.1,0.212,2.51,2.37,22.071347,79.580453,4.89,Metamorphic_Schist,0,India
422.75,2.69,0.201,29.27,1151.2,0.238,3.19,1.53,21.845646,79.763829,3.76,Sedimentary_Mn_Oxide,1,India
399.42,7.97,0.217,36.93,1249.5,0.222,1.68,1.58,21.882832,80.133822,5.72,Metamorphic_Schist,0,India
374.57,7.16,0.35,35.06,865.7,0.2,1.71,1.48,21.991334,79.196349,2.21,Metamorphic_Schist,0,India
325.88,7.52,0.499,35.87,1241.7,0.238,2.86,1.4,22.137189,80.20715,0.87,Metamorphic_Schist,0,India
358.76,7.64,0.412,36.13,877.7,0.203,2.27,1.45,22.033507,79.241061,5.69,Metamorphic_Schist,0,India
437.36,7.98,0.39,36.96,901.2,0.338,3.11,2.2,21.649705,79.307238,3.58,Sedimentary_Mn_Oxide,1,India
441.36,5.85,0.251,32.58,1211.7,0.29,1.65,2.5,21.748826,80.320211,5.8,Metamorphic_Schist,0,India
337.4,6.46,0.203,33.66,1222.9,0.217,1.66,1.68,21.187373,80.286286,4.64,Metamorphic_Schist,0,India
324.71,7.53,0.227,35.89,1241.8,0.205,2.38,1.61,21.144253,80.206242,4.45,Metamorphic_Schist,1,India
354.37,5.81,0.49,32.51,931.4,0.227,2.4,2.47,22.111527,78.751372,4.32,Metamorphic_Schist,0,India
398.48,1.75,0.214,29.01,1131.8,0.224,3.17,1.79,21.877995,79.727409,4.22,Sedimentary_Mn_Oxide,1,India
423.19,4.05,0.233,30.23,1178.2,0.28,3.16,1.3,21.766183,79.818849,0.84,Sedimentary_Mn_Oxide,1,India
325.36,1.52,0.41,29.0,865.0,0.214,1.84,1.48,21.007551,78.93341,5.72,Metamorphic_Schist,0,India
438.77,7.62,0.418,36.09,1243.4,0.345,3.16,2.33,21.629894,80.024622,0.82,Metamorphic_Schist,0,India
439.33,7.7,0.204,36.29,944.1,0.255,1.6,2.47,21.812058,79.401034,2.55,Sedimentary_Mn_Oxide,0,India
310.23,4.4,0.241,30.59,902.2,0.203,1.63,1.51,21.129778,78.816979,4.11,Metamorphic_Schist,0,India
379.74,3.12,0.383,29.5,1159.9,0.316,2.77,2.48,21.385177,79.780996,1.7,Sedimentary_Mn_Oxide,1,India
425.49,8.0,0.5,36.99,1249.9,0.359,2.82,2.4,21.519784,80.100984,4.67,Metamorphic_Schist,0,India
335.91,5.97,0.204,32.78,1214.0,0.215,3.15,1.59,21.181732,79.907374,5.8,Metamorphic_Schist,1,India
432.54,2.12,0.295,29.07,871.2,0.308,2.11,1.73,21.714797,78.908498,3.01,Sedimentary_Mn_Oxide,0,India
437.33,4.92,0.225,31.21,1194.6,0.275,3.2,1.31,21.775515,79.856387,3.23,Sedimentary_Mn_Oxide,0,India
366.69,7.99,0.324,36.97,1249.8,0.295,1.62,1.59,21.345239,80.126749,1.31,Metamorphic_Schist,0,India
321.52,5.69,0.244,32.33,1023.4,0.202,1.83,2.46,21.126736,79.542568,1.81,Metamorphic_Schist,1,India
443.36,2.59,0.294,29.22,1149.2,0.308,2.01,2.13,21.715417,80.461305,3.74,Metamorphic_Schist,0,India
402.44,6.34,0.242,33.44,1220.7,0.212,2.78,2.0,21.910703,80.293271,3.7,Metamorphic_Schist,0,India
366.58,7.97,0.485,36.92,898.6,0.223,3.13,1.38,22.10342,79.300849,1.45,Metamorphic_Schist,0,India
396.41,7.96,0.463,36.9,1033.6,0.343,2.39,1.78,21.44786,78.567179,5.8,Metamorphic_Schist,0,India
385.5,7.99,0.455,36.97,915.5,0.34,2.24,1.31,21.439988,79.341262,2.05,Sedimentary_Mn_Oxide,1,India
355.49,7.59,0.308,36.03,950.8,0.289,1.78,1.62,21.334213,79.414051,5.28,Sedimentary_Mn_Oxide,1,India
318.31,1.98,0.493,29.04,869.8,0.229,1.62,2.09,22.116717,78.913905,3.86,Metamorphic_Schist,0,India
430.21,6.15,0.321,33.09,1217.2,0.318,3.15,1.68,21.696649,79.917105,1.15,Metamorphic_Schist,1,India
455.18,1.79,0.386,29.02,862.8,0.337,1.81,2.14,21.652877,78.943713,5.1,Sedimentary_Mn_Oxide,0,India
441.52,7.77,0.417,36.43,1245.9,0.345,3.19,2.37,21.630728,80.043219,1.81,Metamorphic_Schist,0,India
320.09,1.89,0.325,29.03,1134.7,0.202,1.6,1.65,21.065562,79.732792,5.44,Metamorphic_Schist,0,India
332.83,7.66,0.204,36.17,947.2,0.233,1.76,2.09,21.227731,79.406989,2.57,Sedimentary_Mn_Oxide,0,India
320.17,4.31,0.201,30.5,1061.4,0.22,1.72,2.49,21.196126,79.605984,5.57,Metamorphic_Schist,0,India
436.37,3.24,0.213,29.58,1162.3,0.266,3.17,1.34,21.791565,79.785837,1.01,Sedimentary_Mn_Oxide,1,India
367.45,5.68,0.369,32.31,851.7,0.311,2.17,1.62,21.375338,79.107274,2.84,Sedimentary_Mn_Oxide,1,India
417.05,6.48,0.499,33.69,1223.2,0.36,3.07,1.88,21.529948,80.285274,5.28,Metamorphic_Schist,0,India
301.35,6.6,0.377,33.92,994.1,0.208,2.95,2.3,21.030437,79.492669,5.73,Metamorphic_Schist,0,India
351.51,5.07,0.263,31.41,1197.4,0.27,2.38,1.45,21.300684,80.35809,5.8,Metamorphic_Schist,0,India
350.95,4.85,0.266,31.12,910.4,0.272,2.48,2.33,21.303707,78.797373,5.77,Metamorphic_Schist,0,India
331.73,2.49,0.327,29.19,875.2,0.202,1.68,1.3,21.063984,78.894186,4.83,Metamorphic_Schist,0,India
409.86,7.85,0.244,36.64,1018.3,0.212,2.0,2.25,21.912715,78.592897,3.81,Metamorphic_Schist,0,India
353.22,6.65,0.496,34.02,858.5,0.256,3.01,1.51,22.172676,79.160953,3.16,Metamorphic_Schist,0,India
350.28,1.65,0.444,29.0,1129.7,0.209,1.85,2.03,22.058565,80.497598,5.73,Metamorphic_Schist,0,India
432.84,5.89,0.289,32.66,1212.6,0.306,1.6,2.48,21.718862,80.317722,5.32,Metamorphic_Schist,0,India
396.72,8.0,0.208,36.99,905.8,0.229,1.6,2.39,21.866027,79.318596,2.62,Sedimentary_Mn_Oxide,1,India
436.83,7.67,0.285,36.21,1244.3,0.305,2.93,1.96,21.722155,80.030764,5.76,Metamorphic_Schist,1,India
430.22,3.89,0.48,30.08,851.2,0.358,1.67,2.5,21.571707,79.026717,5.75,Sedimentary_Mn_Oxide,0,India
441.51,8.0,0.471,37.0,1250.0,0.357,3.18,2.5,21.582709,80.10471,1.29,Metamorphic_Schist,0,India
424.48,1.9,0.207,29.03,1134.9,0.26,3.07,1.46,21.8026,79.733169,2.37,Sedimentary_Mn_Oxide,1,India
375.54,6.23,0.409,33.23,1218.7,0.203,1.72,1.83,22.03177,79.921607,5.59,Metamorphic_Schist,1,India
356.08,7.68,0.213,36.23,1003.2,0.242,1.67,2.49,21.248042,78.618499,4.82,Metamorphic_Schist,0,India
360.5,8.0,0.264,36.99,905.1,0.271,1.69,1.46,21.302081,79.316991,3.53,Sedimentary_Mn_Oxide,1,India
358.2,7.97,0.478,36.92,898.4,0.22,3.09,1.4,22.093752,79.300191,2.19,Metamorphic_Schist,1,India
387.8,5.98,0.325,32.8,1214.2,0.296,2.53,1.3,21.346357,80.313131,5.69,Metamorphic_Schist,1,India
338.47,3.45,0.302,29.72,852.7,0.2,1.78,1.43,21.080952,79.008832,3.03,Metamorphic_Schist,0,India
372.05,7.06,0.392,34.86,976.2,0.202,3.19,2.23,22.0192,79.460995,1.83,Metamorphic_Schist,1,India
440.44,7.76,0.209,36.41,1009.1,0.262,1.61,1.68,21.79909,78.608501,4.86,Metamorphic_Schist,0,India
367.75,2.32,0.323,29.13,1108.6,0.295,3.19,2.42,21.344427,79.686176,5.71,Sedimentary_Mn_Oxide,1,India
354.76,7.93,0.5,36.83,1248.8,0.243,3.06,1.59,22.14712,80.147225,2.91,Metamorphic_Schist,0,India
344.83,3.84,0.447,30.03,1174.0,0.209,2.32,1.71,22.061089,80.411369,4.76,Metamorphic_Schist,0,India
381.46,5.16,0.315,31.54,850.3,0.292,2.67,1.55,21.339014,79.082022,5.49,Sedimentary_Mn_Oxide,0,India
421.45,3.86,0.253,30.06,851.3,0.291,3.05,1.99,21.747227,79.025509,5.46,Sedimentary_Mn_Oxide,0,India
351.12,7.38,0.21,35.54,1239.1,0.24,1.62,1.34,21.242631,80.22092,4.02,Metamorphic_Schist,0,India
391.99,7.97,0.293,36.92,1249.5,0.203,2.19,1.36,21.952373,80.134943,2.46,Metamorphic_Schist,1,India
328.43,2.07,0.356,29.06,860.6,0.205,1.61,1.42,21.044492,78.954545,3.74,Metamorphic_Schist,0,India
353.61,8.0,0.443,37.0,908.5,0.209,2.97,1.59,22.057995,79.324996,3.5,Metamorphic_Schist,0,India
411.88,7.98,0.498,36.95,1037.6,0.36,3.06,1.42,21.535095,78.560567,2.52,Metamorphic_Schist,0,India
397.87,2.82,0.488,29.33,1097.5,0.352,2.61,1.82,21.478896,79.666894,2.95,Sedimentary_Mn_Oxide,1,India
458.9,7.99,0.411,36.98,1249.9,0.344,3.09,2.48,21.635286,80.122073,5.16,Metamorphic_Schist,0,India
426.26,3.2,0.454,29.55,884.0,0.354,1.7,2.12,21.60006,78.866164,3.37,Sedimentary_Mn_Oxide,1,India
445.85,6.52,0.244,33.77,857.2,0.286,3.1,2.35,21.755751,79.152931,3.38,Sedimentary_Mn_Oxide,1,India
319.52,7.5,0.209,35.81,991.4,0.211,2.11,2.28,21.170074,78.638896,5.53,Metamorphic_Schist,0,India
347.58,5.97,0.257,32.79,853.1,0.268,2.81,1.34,21.296312,79.122285,5.77,Sedimentary_Mn_Oxide,0,India
342.11,6.69,0.488,34.1,1226.9,0.265,2.01,1.41,22.187837,80.272282,5.75,Metamorphic_Schist,0,India
349.22,3.19,0.239,29.54,1161.3,0.259,3.19,2.4,21.279087,79.783646,5.71,Sedimentary_Mn_Oxide,1,India
341.97,7.66,0.5,36.17,947.1,0.242,2.88,1.49,22.145368,79.406955,5.8,Metamorphic_Schist,0,India
380.69,6.77,0.469,34.27,959.7,0.345,3.11,2.2,21.454516,78.695883,1.82,Metamorphic_Schist,0,India
337.92,7.95,0.203,36.88,1031.9,0.217,2.38,2.47,21.187196,78.570027,4.42,Metamorphic_Schist,0,India
331.16,4.42,0.275,30.61,902.6,0.2,1.75,1.42,21.101278,78.81608,5.39,Metamorphic_Schist,0,India
367.15,5.91,0.342,32.68,1016.8,0.2,3.2,2.48,21.98558,79.531461,2.78,Metamorphic_Schist,0,India
321.38,7.97,0.419,36.94,1249.6,0.216,2.79,1.86,21.001042,80.088472,3.77,Metamorphic_Schist,0,India
296.18,5.45,0.303,31.95,1204.4,0.2,2.14,2.33,21.080591,80.340107,5.47,Metamorphic_Schist,0,India
333.53,7.1,0.207,34.94,1234.3,0.236,1.61,1.39,21.235664,80.243704,3.53,Metamorphic_Schist,0,India
315.82,4.56,0.402,30.78,1187.9,0.212,1.62,1.3,21.013386,79.840668,5.78,Metamorphic_Schist,0,India
360.54,7.05,0.317,34.83,970.1,0.293,2.07,2.48,21.340679,78.676778,5.11,Metamorphic_Schist,0,India
429.98,2.73,0.493,29.29,1099.4,0.36,1.94,1.52,21.550575,79.670201,5.8,Sedimentary_Mn_Oxide,0,India
440.53,6.66,0.447,34.03,1226.4,0.352,2.53,2.26,21.606569,80.274271,4.98,Metamorphic_Schist,1,India
318.41,2.02,0.254,29.05,1137.5,0.201,1.78,1.88,21.118127,79.737991,5.29,Metamorphic_Schist,0,India
355.34,3.83,0.49,30.03,1173.8,0.227,1.74,2.46,22.111115,79.809524,5.48,Metamorphic_Schist,0,India
442.29,3.46,0.398,29.73,887.5,0.34,1.6,1.88,21.644348,78.855871,5.26,Sedimentary_Mn_Oxide,1,India
359.84,7.94,0.385,36.85,1248.9,0.201,2.83,1.3,22.014904,80.145431,4.04,Metamorphic_Schist,0,India
428.5,4.07,0.2,30.25,1178.4,0.246,3.12,1.36,21.829136,79.819455,4.84,Sedimentary_Mn_Oxide,1,India
395.48,5.99,0.298,32.83,936.2,0.202,3.14,1.95,21.955883,78.741626,5.78,Metamorphic_Schist,1,India
332.29,7.65,0.205,36.16,878.2,0.235,2.68,1.51,21.23158,79.242487,5.5,Sedimentary_Mn_Oxide,1,India
352.32,5.33,0.232,31.78,850.6,0.255,3.11,1.34,21.27232,79.089963,5.01,Sedimentary_Mn_Oxide,0,India
331.61,4.81,0.219,31.08,909.7,0.207,1.6,1.67,21.154818,78.798909,3.32,Metamorphic_Schist,0,India
426.04,7.06,0.281,34.86,970.7,0.303,1.71,1.31,21.724725,78.675745,3.22,Metamorphic_Schist,0,India
356.92,7.95,0.398,36.88,1249.2,0.202,2.52,1.36,22.023588,80.080372,1.72,Metamorphic_Schist,1,India
420.61,5.87,0.464,32.62,1018.1,0.355,2.4,1.32,21.590645,79.533545,4.35,Sedimentary_Mn_Oxide,1,India
414.45,7.44,0.229,35.68,1240.2,0.217,2.17,1.79,21.896799,80.215256,2.6,Metamorphic_Schist,0,India
436.73,4.94,0.282,31.24,1045.0,0.304,1.66,1.6,21.724049,79.578609,1.29,Sedimentary_Mn_Oxide,1,India
336.33,8.0,0.202,37.0,1250.0,0.218,2.56,1.3,21.189928,80.109118,3.34,Metamorphic_Schist,0,India
401.19,2.36,0.423,29.14,858.5,0.33,2.7,2.28,21.413527,78.965695,5.57,Sedimentary_Mn_Oxide,0,India
396.95,4.58,0.391,30.8,1054.5,0.319,3.15,1.98,21.390645,79.594522,5.8,Sedimentary_Mn_Oxide,1,India
378.87,4.9,0.41,31.19,911.5,0.203,2.86,2.12,22.032182,78.794786,0.92,Metamorphic_Schist,0,India
314.67,4.14,0.331,30.32,1179.9,0.202,1.78,1.4,21.061702,79.822596,5.29,Metamorphic_Schist,0,India
426.36,7.59,0.472,36.02,951.2,0.357,3.09,1.53,21.582141,79.41471,3.32,Sedimentary_Mn_Oxide,1,India
386.87,6.57,0.382,33.86,857.7,0.316,1.83,1.51,21.384172,79.155968,1.79,Sedimentary_Mn_Oxide,1,India
369.28,2.37,0.286,29.14,1144.8,0.28,3.2,2.5,21.31874,79.75163,5.28,Sedimentary_Mn_Oxide,1,India
382.28,7.41,0.403,35.62,1239.8,0.203,3.17,1.34,22.02716,80.217575,5.8,Metamorphic_Schist,0,India
328.62,4.12,0.495,30.3,850.7,0.232,1.86,1.69,22.122679,79.036088,3.84,Metamorphic_Schist,1,India
319.07,7.96,0.317,36.89,1249.2,0.201,3.17,1.53,21.070977,80.08151,5.8,Metamorphic_Schist,0,India
437.35,2.56,0.444,29.21,857.3,0.351,1.68,2.39,21.609499,78.973328,5.72,Sedimentary_Mn_Oxide,0,India
449.11,7.39,0.401,35.57,1239.4,0.341,2.54,2.47,21.64218,80.219608,5.02,Metamorphic_Schist,0,India
416.35,6.03,0.499,32.89,937.2,0.36,2.97,2.0,21.530528,78.739605,5.7,Metamorphic_Schist,0,India
331.83,6.67,0.495,34.06,1226.6,0.231,2.61,2.16,22.121835,79.947834,2.43,Metamorphic_Schist,1,India
360.01,7.38,0.201,35.54,1239.1,0.227,1.73,1.4,21.215328,80.220915,5.28,Metamorphic_Schist,0,India
445.65,2.29,0.468,29.12,1143.0,0.356,1.6,1.61,21.586977,79.748304,2.09,Sedimentary_Mn_Oxide,1,India
423.88,7.6,0.202,36.05,997.8,0.236,1.73,1.85,21.849918,78.627816,5.53,Metamorphic_Schist,0,India
399.25,3.39,0.452,29.67,1084.2,0.339,3.05,1.94,21.437303,79.644308,2.77,Sedimentary_Mn_Oxide,1,India
423.32,7.99,0.201,36.98,1249.9,0.238,1.6,1.7,21.844809,80.121747,5.16,Metamorphic_Schist,0,India
394.3,7.99,0.429,36.97,1059.6,0.332,1.87,1.77,21.418076,78.523837,3.9,Metamorphic_Schist,0,India
343.18,6.92,0.211,34.55,1231.0,0.24,2.92,1.67,21.244033,79.964081,1.33,Metamorphic_Schist,0,India
384.88,3.21,0.381,29.55,853.7,0.201,1.84,1.39,22.011927,78.999107,5.71,Metamorphic_Schist,0,India
419.83,7.98,0.208,36.96,1249.7,0.228,1.6,1.52,21.867767,80.093029,5.29,Metamorphic_Schist,0,India
388.8,5.94,0.279,32.73,934.8,0.205,3.09,1.87,21.941811,78.744483,5.63,Metamorphic_Schist,0,India
316.89,3.97,0.325,30.16,851.0,0.202,1.77,1.54,21.065486,79.030049,2.94,Metamorphic_Schist,0,India
426.2,3.77,0.205,29.98,1074.9,0.257,2.59,1.82,21.808453,79.628598,5.59,Sedimentary_Mn_Oxide,1,India
436.25,2.6,0.486,29.23,1149.4,0.359,1.82,1.46,21.562854,80.460847,1.89,Metamorphic_Schist,0,India
358.23,7.99,0.219,36.99,1056.0,0.247,2.0,2.44,21.256478,78.529778,5.76,Metamorphic_Schist,0,India
396.73,6.04,0.468,32.89,1012.9,0.345,3.19,1.48,21.453673,79.524854,5.68,Sedimentary_Mn_Oxide,1,India
328.06,7.89,0.377,36.74,890.6,0.208,2.9,2.44,21.030795,79.279516,4.12,Metamorphic_Schist,0,India
433.55,7.86,0.312,36.67,1247.6,0.315,2.93,2.15,21.702917,80.059183,5.76,Metamorphic_Schist,0,India
369.39,7.38,0.403,35.56,1239.3,0.203,3.17,1.34,22.027142,80.220256,5.79,Metamorphic_Schist,0,India
402.28,7.69,0.227,36.26,1244.6,0.217,1.62,1.33,21.895089,80.033121,4.8,Metamorphic_Schist,0,India
440.91,7.94,0.211,36.84,924.3,0.264,1.69,2.49,21.795982,79.360409,5.02,Sedimentary_Mn_Oxide,1,India
394.58,2.42,0.419,29.16,874.4,0.328,3.06,2.42,21.410284,78.896932,5.35,Sedimentary_Mn_Oxide,1,India
325.38,7.97,0.229,36.93,1036.3,0.205,2.83,2.38,21.142792,78.562663,1.15,Metamorphic_Schist,1,India
327.18,2.27,0.394,29.11,1142.7,0.211,1.91,2.42,21.018595,80.473647,5.8,Metamorphic_Schist,0,India
369.34,7.71,0.402,36.31,1005.6,0.202,3.08,2.49,22.026758,78.614457,5.59,Metamorphic_Schist,0,India
421.0,2.48,0.491,29.18,857.7,0.353,2.01,2.46,21.484283,78.970414,1.57,Sedimentary_Mn_Oxide,1,India
451.53,2.02,0.383,29.05,1137.4,0.336,1.71,1.77,21.654977,80.483463,5.64,Metamorphic_Schist,0,India
452.84,7.98,0.477,36.94,1249.6,0.358,3.2,2.47,21.575561,80.132216,2.11,Metamorphic_Schist,1,India
439.28,7.9,0.328,36.76,1024.1,0.32,2.48,1.37,21.691662,78.58307,4.77,Metamorphic_Schist,0,India
443.03,7.43,0.212,35.65,987.5,0.265,1.6,1.54,21.793311,78.64574,5.52,Metamorphic_Schist,0,India
419.24,3.0,0.275,29.43,1157.5,0.301,2.76,1.3,21.729393,79.776213,4.97,Sedimentary_Mn_Oxide,1,India
331.39,7.99,0.284,36.99,1043.8,0.2,3.16,2.25,21.094453,78.550229,4.32,Metamorphic_Schist,0,India
415.86,2.16,0.201,29.08,1140.5,0.249,3.04,2.45,21.824206,80.477713,5.4,Metamorphic_Schist,0,India
393.56,5.35,0.457,31.81,920.7,0.341,3.2,2.43,21.442694,78.774048,2.74,Metamorphic_Schist,0,India
402.09,6.53,0.243,33.79,1224.1,0.212,2.73,1.95,21.911951,80.282018,3.31,Metamorphic_Schist,0,India
389.69,7.96,0.242,36.89,921.5,0.212,1.87,2.34,21.910966,79.354475,3.87,Metamorphic_Schist,1,India
326.4,5.41,0.202,31.89,1203.7,0.218,1.6,1.86,21.190239,80.34199,2.16,Metamorphic_Schist,1,India
368.43,4.16,0.363,30.34,1180.1,0.309,2.64,2.5,21.371778,79.823162,2.75,Sedimentary_Mn_Oxide,1,India
423.58,8.0,0.491,36.99,1045.5,0.354,2.62,1.55,21.485426,78.547296,5.51,Metamorphic_Schist,0,India
333.78,7.64,0.206,36.14,948.1,0.214,2.14,2.3,21.177898,79.40873,2.6,Metamorphic_Schist,0,India
456.1,7.13,0.452,34.99,1234.7,0.353,2.83,2.31,21.602562,79.979506,4.58,Metamorphic_Schist,0,India
378.06,6.74,0.412,34.2,1227.8,0.326,2.8,1.42,21.405713,80.268998,4.76,Metamorphic_Schist,0,India
423.53,2.54,0.496,29.21,857.3,0.36,1.64,2.5,21.543781,78.972866,4.25,Sedimentary_Mn_Oxide,0,India
406.36,7.82,0.49,36.55,936.0,0.353,2.89,1.32,21.482351,79.384797,4.45,Sedimentary_Mn_Oxide,1,India
448.29,3.74,0.359,29.95,851.7,0.33,2.41,2.3,21.671194,79.020537,0.84,Sedimentary_Mn_Oxide,1,India
387.59,6.14,0.308,33.08,940.1,0.202,3.15,2.01,21.962631,78.733807,5.79,Metamorphic_Schist,0,India
357.49,3.64,0.494,29.87,852.0,0.23,1.76,1.74,22.11962,79.016586,2.8,Metamorphic_Schist,0,India
386.89,4.27,0.403,30.45,1062.5,0.203,2.74,2.49,22.027581,79.607854,5.67,Metamorphic_Schist,1,India
404.6,7.99,0.444,36.97,1249.8,0.337,2.14,1.98,21.430403,80.12505,5.38,Metamorphic_Schist,0,India
